lower_edges,upper_edges,mean,sigma
10.0,11.561396614840072,3.8462680397310996e-07,3.8462680397310996e-07
11.561396614840072,13.366589168563547,0.0,0.0
13.366589168563547,15.453643876538864,4.283721857679308e-07,4.283721857679308e-07
15.453643876538864,17.86657060011604,3.150104368808888e-06,1.9754134980123106e-06
17.86657060011604,20.656250885498274,1.5502358798786082e-06,8.527524513125715e-07
20.656250885498274,23.88151090628871,9.579072911786462e-06,3.15356338292124e-06
23.88151090628871,27.610361934923255,1.8180904625527867e-05,4.942473479427606e-06
27.610361934923255,31.92143450089309,3.134083023758844e-05,7.48274970377587e-06
31.92143450089309,36.905636477946445,2.4682919514534825e-05,5.107012499003604e-06
36.905636477946445,42.66807006446483,4.449921206161941e-05,6.776838831261105e-06
42.66807006446483,49.330248080506294,9.515927711592595e-05,1.0815179393060012e-05
49.330248080506294,57.032656316718636,0.00013871011766686866,1.2861817107247337e-05
57.032656316718636,65.9377159675448,0.00024227478392016788,1.5371797651992992e-05
65.9377159675448,76.2332086177459,0.0004533428428997695,2.122260372421189e-05
76.2332086177459,88.13623600516046,0.0009038912471544148,3.1447026351711285e-05
88.13623600516046,101.89779805948076,0.0017869339899084138,4.558993450665775e-05
101.89779805948076,117.80808575445381,0.002418175859357828,5.156973709798694e-05
117.80808575445381,136.2026003842331,0.004208613338536689,7.131974254073123e-05
136.2026003842331,157.46922830146895,0.006358915393838979,8.611970738636123e-05
157.46922830146895,182.05642030260796,0.009298275391865682,0.00010664009688577024
182.05642030260796,210.4826481396475,0.011935969367726555,0.000111636559285274
210.4826481396475,243.34733756842945,0.018554947067255703,0.00014504560652527857
243.34733756842945,281.34350847939845,0.026431091852017148,0.00017783826008502062
281.34350847939845,325.27238865409464,0.03845529105245369,0.00021138736647751988
325.27238865409464,376.0603093086394,0.053861967556772174,0.00025025678070723364
376.0603093086394,434.77823870166134,0.0680918056550651,0.0002890924999970692
434.77823870166134,502.6643657131516,0.08933224548417394,0.0003369003534878312
502.6643657131516,581.1502096156769,0.11261581220304355,0.00037073281853944117
581.1502096156769,671.8908066164278,0.15661545084560333,0.00042352930560793036
671.8908066164278,776.7996097157342,0.21880339071939528,0.0005278838579654558
776.7996097157342,898.0888378176577,0.2696636179811399,0.000591642598582777
898.0888378176577,1038.3161249370721,0.3271496012012964,0.0006329410847183498
1038.3161249370721,1200.4384531981327,0.3995497505187401,0.0007099453208911106
1200.4384531981327,1387.8745069128743,0.4893497359136534,0.0007779045672818108
1387.8745069128743,1604.576762604534,0.5554194171210199,0.0008224840887263035
1604.576762604534,1855.11483514271,0.5959874568287303,0.0007823734683219064
1855.11483514271,2144.7718375158547,0.41626581885431,0.00048219028841886547
2144.7718375158547,2479.6557861860124,0.30743780332632614,0.00038472412466194155
2479.6557861860124,2866.828401237956,0.1055598887916205,0.00016275945131798925
2866.828401237956,3314.454017339988,0.15395017439272968,0.00022806163009352661
3314.454017339988,3831.971745611761,0.40795288437551297,0.00047689613711812993
3831.971745611761,4430.2945167878615,0.630119463792344,0.0006896703368851159
4430.2945167878615,5122.039202913571,0.8405284315126771,0.0008718724140679505
5122.039202913571,5921.7926701643155,0.8872113257625184,0.0008715833381659329
5921.7926701643155,6846.419373062247,1.0991054398195055,0.001047277521618474
6846.419373062247,7915.416976349735,1.4348320629098845,0.0013404202231693284
7915.416976349735,9151.327503541746,1.338938087242519,0.0012200895196859997
9151.327503541746,10580.212682074038,1.3656048046885834,0.0011448839224720622
10580.212682074038,12232.20350868189,1.5357594269277757,0.001232835606174902
12232.20350868189,14142.135623730952,1.8092030921522075,0.0013603640372101757
14142.135623730952,16350.283892681204,2.001210304076736,0.0014225932679899286
16350.283892681204,18903.21168485188,2.2188288581128126,0.0014391553705400757
18903.21168485188,21854.752758285205,2.463015928049107,0.001683451717889189
21854.752758285205,25267.1464557805,2.709472890291966,0.0017525924818298315
25267.1464557805,29212.35015005293,2.5636907109117986,0.0015457944770168625
29212.35015005293,33773.556613634515,2.6880668622261856,0.0015924088752593546
33773.556613634515,39046.94831039832,2.9134837257975503,0.0016766623217286168
39046.94831039832,45143.72560156739,3.227845167254455,0.0018546340148330117
45143.72560156739,52192.451635123085,3.3539142362811503,0.0018252459549583273
52192.451635123085,60341.76336545168,2.717575651569919,0.0014847609935764769
60341.76336545168,69763.5058706813,3.571405660381115,0.0019415677032618914
69763.5058706813,80656.35606126711,3.715337828924427,0.0019306231677785352
80656.35606126711,93250.012193207,3.579092418142157,0.0018978498843311962
93250.012193207,107810.03753043378,3.9210053184263516,0.001960070258324422
107810.03753043378,124643.46029501394,4.017376161649824,0.0019781980107292877
124643.46029501394,144105.24799167254,4.023254886063112,0.002026279026797415
