x,y,flux_mean,flux_sigma,total_mean,total_sigma
-5.618712,0.2553960000000002,3.2441649970166654e-05,1.652361984907951e-06,0.00020775634867502637,9.474949449139587e-06
-5.618712,0.5107920000000004,3.381583166124108e-05,1.797615146341566e-06,0.00021155132889758786,1.0307584973738784e-05
-5.618712,0.7661880000000005,3.445622795466325e-05,1.7601282076156185e-06,0.00021665292949966434,1.0181038329201364e-05
-5.618712,1.0215840000000007,3.1513776048425955e-05,1.7247903146632041e-06,0.00020075989471918292,9.954886077110185e-06
-5.618712,1.27698,3.149518029801936e-05,1.8011925883936584e-06,0.00019645993827678917,9.9868442333354e-06
-5.618712,1.5323760000000002,2.8916169391613247e-05,1.6137152290834708e-06,0.00019075984675890828,9.578794511613634e-06
-5.618712,1.7877720000000004,2.863129140191975e-05,1.7094596363987327e-06,0.00018125721694951618,9.558759911266436e-06
-5.618712,2.0431679999999997,2.49108889904152e-05,1.56376533212216e-06,0.00016546139981579,9.156958304288203e-06
-5.618712,2.2985640000000007,2.3598233014981425e-05,1.5745411808255221e-06,0.0001541605731755227,8.879173896672635e-06
-5.618712,2.55396,2.2583240858444653e-05,1.43980788760941e-06,0.00015197401919026576,8.811988693650395e-06
-5.618712,2.809356000000001,2.1690120857186147e-05,1.440327435198666e-06,0.00013766285127025425,7.993003294085824e-06
-5.618712,3.0647520000000004,1.6926151683519945e-05,1.2798187577349844e-06,0.00011297660534275945,7.647448428779793e-06
-5.618712,3.3201479999999997,7.203629423179015e-06,8.205975447217595e-07,4.099423372942165e-05,4.3535620092446645e-06
-5.618712,3.5755440000000007,2.0300276172760563e-07,1.3003639400034664e-07,1.1998094213341595e-06,5.279460466305745e-07
-5.618712,3.83094,0.0,0.0,0.0,0.0
-5.618712,4.086336000000001,0.0,0.0,0.0,0.0
-5.618712,4.341732,0.0,0.0,0.0,0.0
-5.618712,4.597128,0.0,0.0,0.0,0.0
-5.618712,4.852524000000001,0.0,0.0,0.0,0.0
-5.618712,5.10792,0.0,0.0,0.0,0.0
-5.618712,5.363316000000001,0.0,0.0,0.0,0.0
-5.618712,5.618712,0.0,0.0,0.0,0.0
-5.618712,5.874108000000001,0.0,0.0,0.0,0.0
-5.618712,6.129504000000001,0.0,0.0,0.0,0.0
-5.618712,6.3849,0.0,0.0,0.0,0.0
-5.363316,-6.3849,0.0,0.0,0.0,0.0
-5.363316,-6.129504,0.0,0.0,0.0,0.0
-5.363316,-5.874108,0.0,0.0,0.0,0.0
-5.363316,-5.618712,0.0,0.0,0.0,0.0
-5.363316,-5.363316,0.0,0.0,0.0,0.0
-5.363316,-5.10792,0.0,0.0,0.0,0.0
-5.363316,-4.852524,0.0,0.0,0.0,0.0
-5.363316,-4.597128,0.0,0.0,0.0,0.0
-5.363316,-4.341732,0.0,0.0,0.0,0.0
-5.363316,-4.086335999999999,0.0,0.0,0.0,0.0
-5.363316,-3.83094,2.602467757010332e-06,5.007257873819679e-07,1.4097621010121196e-05,2.3610528762778216e-06
-5.363316,-3.575544,1.4915730451289829e-05,1.2335118964254044e-06,8.958013896214728e-05,6.807038768065235e-06
-5.363316,-3.3201479999999997,1.810663646528317e-05,1.3146409304681618e-06,0.00012177771970880903,7.999379400356696e-06
-5.363316,-3.064752,2.1581702448582427e-05,1.405177487404174e-06,0.00013926987229924214,8.20759237326972e-06
-5.363316,-2.8093559999999997,2.373258258789484e-05,1.5022054198580629e-06,0.00016337079485365116,9.05059556604438e-06
-5.363316,-2.55396,2.8348407612202712e-05,1.594925735754884e-06,0.00019026783149894366,9.353027493682376e-06
-5.363316,-2.298564,3.0207574309416136e-05,1.6210511462141319e-06,0.00020294269252866233,9.813889771995395e-06
-5.363316,-2.0431679999999997,3.447766436877529e-05,1.8569751445186082e-06,0.00022175185679149207,1.0332536451772478e-05
-5.363316,-1.7877719999999995,3.222176694147785e-05,1.7637210977717488e-06,0.00020935558097345193,1.0247852482645974e-05
-5.363316,-1.5323760000000002,3.241072927195342e-05,1.7026915561754335e-06,0.00020636184303486475,9.760266560915157e-06
-5.363316,-1.27698,3.604215169718396e-05,1.878921135332771e-06,0.00023474180002309072,1.093831583924573e-05
-5.363316,-1.0215839999999998,3.7863229916330135e-05,1.9742926878434014e-06,0.0002504552194409418,1.1526906516771052e-05
-5.363316,-0.7661879999999996,3.398240109865716e-05,1.8077383431329729e-06,0.00022834944771710065,1.104549513390989e-05
-5.363316,-0.5107919999999995,3.662923031492818e-05,1.8154096964546911e-06,0.0002507472060598516,1.102386786111344e-05
-5.363316,-0.2553959999999993,3.561472473015601e-05,1.8348085146749546e-06,0.0002453555466003422,1.1192957682981588e-05
-5.363316,0.0,3.865950083204975e-05,2.0123391862836686e-06,0.00026554588161639757,1.2287094666306916e-05
-5.363316,0.2553960000000002,3.585528357995108e-05,1.760582842612419e-06,0.00023134617132851925,1.0073013965472797e-05
-5.363316,0.5107920000000004,3.429039149927886e-05,1.804828893468808e-06,0.00022495447023011792,1.043550979026264e-05
-5.363316,0.7661880000000005,3.635681934677023e-05,1.8407296959024457e-06,0.00024325187839969678,1.1288004987311936e-05
-5.363316,1.0215840000000007,3.489926918619631e-05,1.7530604413235312e-06,0.00022985123702959598,1.0516849385491403e-05
-5.363316,1.27698,3.349683979985464e-05,1.7886960213805886e-06,0.00022584100612100055,1.0836447898015932e-05
-5.363316,1.5323760000000002,3.7284318472432864e-05,1.8885821527568757e-06,0.00023714795516676458,1.1111466443855855e-05
-5.363316,1.7877720000000004,3.146354313453503e-05,1.708994744101091e-06,0.0002031537829451028,1.006186698278225e-05
-5.363316,2.0431679999999997,3.208378175161727e-05,1.774461031816281e-06,0.00021015733809506465,1.031414765353931e-05
-5.363316,2.2985640000000007,3.147755305093606e-05,1.7572452548036862e-06,0.00020865466823367698,1.052231511471293e-05
-5.363316,2.55396,2.764388566264221e-05,1.5817774506526425e-06,0.00017755870959388162,9.298298098747787e-06
-5.363316,2.809356000000001,2.6892925048958277e-05,1.6018128993124312e-06,0.000180760759027265,9.634420800046226e-06
-5.363316,3.0647520000000004,2.46331436573988e-05,1.507468099028391e-06,0.00016587175678967742,9.30523537216789e-06
-5.363316,3.3201479999999997,1.7248993999523246e-05,1.298530999875245e-06,0.00011347465292391814,7.4782117563440585e-06
-5.363316,3.5755440000000007,1.3210238739936277e-05,1.1496660040188248e-06,8.358099030918859e-05,6.560081047866979e-06
-5.363316,3.83094,2.9022443840007314e-06,5.25172952842838e-07,1.6297154113645555e-05,2.5551536558113308e-06
-5.363316,4.086336000000001,0.0,0.0,0.0,0.0
-5.363316,4.341732,0.0,0.0,0.0,0.0
-5.363316,4.597128,0.0,0.0,0.0,0.0
-5.363316,4.852524000000001,0.0,0.0,0.0,0.0
-5.363316,5.10792,0.0,0.0,0.0,0.0
-5.363316,5.363316000000001,0.0,0.0,0.0,0.0
-5.363316,5.618712,0.0,0.0,0.0,0.0
-5.363316,5.874108000000001,0.0,0.0,0.0,0.0
-5.363316,6.129504000000001,0.0,0.0,0.0,0.0
-5.363316,6.3849,0.0,0.0,0.0,0.0
-5.10792,-6.3849,0.0,0.0,0.0,0.0
-5.10792,-6.129504,0.0,0.0,0.0,0.0
-5.10792,-5.874108,0.0,0.0,0.0,0.0
-5.10792,-5.618712,0.0,0.0,0.0,0.0
-5.10792,-5.363316,0.0,0.0,0.0,0.0
-5.10792,-5.10792,0.0,0.0,0.0,0.0
-5.10792,-4.852524,0.0,0.0,0.0,0.0
-5.10792,-4.597128,0.0,0.0,0.0,0.0
-5.10792,-4.341732,0.0,0.0,0.0,0.0
-5.10792,-4.086335999999999,5.69201659707065e-06,6.966053533630505e-07,3.609676633588699e-05,4.15483656299938e-06
-5.10792,-3.83094,1.8246047861986768e-05,1.294009736711115e-06,0.00011597419140034633,7.556151973019817e-06
-5.10792,-3.575544,2.2025315900088633e-05,1.4550096551907125e-06,0.00013967205638093424,8.190134251992616e-06
-5.10792,-3.3201479999999997,2.4412664415096067e-05,1.519007255118528e-06,0.00015976628322911582,8.849097651758812e-06
-5.10792,-3.064752,2.6185612469480894e-05,1.659180516216046e-06,0.00017595499482316086,9.962903621962689e-06
-5.10792,-2.8093559999999997,2.7316628273247217e-05,1.6049926490354333e-06,0.00019495283293308394,1.0160104732244618e-05
-5.10792,-2.55396,2.9777484949039374e-05,1.5885593881651166e-06,0.00019745506019746282,9.23318670056522e-06
-5.10792,-2.298564,3.1682257879677105e-05,1.8153908854048566e-06,0.00020895024726080535,1.0309283640496094e-05
-5.10792,-2.0431679999999997,3.389002634300857e-05,1.781098949074264e-06,0.00022774674480796918,1.082179109903933e-05
-5.10792,-1.7877719999999995,3.6297966441542315e-05,1.7691035817635501e-06,0.00025044466779441867,1.1071321781595747e-05
-5.10792,-1.5323760000000002,4.016972085099047e-05,1.939796596899197e-06,0.0002615487287444544,1.1303980143637395e-05
-5.10792,-1.27698,4.0332952170844266e-05,1.9682769738688026e-06,0.000275843300781575,1.1868258544862706e-05
-5.10792,-1.0215839999999998,4.172435373298895e-05,2.227102115860578e-06,0.0002668424294555902,1.229083122410139e-05
-5.10792,-0.7661879999999996,3.843062957913194e-05,1.81611661226343e-06,0.0002591475038662355,1.0954027453037369e-05
-5.10792,-0.5107919999999995,3.9848375041752505e-05,1.9099935371258734e-06,0.0002632514316968884,1.1345112516652392e-05
-5.10792,-0.2553959999999993,4.1547348849910026e-05,2.0253813179436498e-06,0.00026144187714603886,1.1582238108369774e-05
-5.10792,0.0,4.3694718550155166e-05,2.1215680291203317e-06,0.00028384020567253173,1.2207618304462797e-05
-5.10792,0.2553960000000002,4.223457539290317e-05,2.0931238383757e-06,0.0002748430782177294,1.2043650889120887e-05
-5.10792,0.5107920000000004,3.956722767367875e-05,1.9712108433486895e-06,0.00026114654849024554,1.1285780363228963e-05
-5.10792,0.7661880000000005,4.122108767846935e-05,1.9011202574310225e-06,0.00027153979321547985,1.1325541298457621e-05
-5.10792,1.0215840000000007,4.2191293302991706e-05,2.0334329281608095e-06,0.00026404082240415644,1.1507733154593654e-05
-5.10792,1.27698,3.811667937704339e-05,1.9712466773718497e-06,0.0002526406324000161,1.1752574662811866e-05
-5.10792,1.5323760000000002,3.665883135725461e-05,1.8687049736694384e-06,0.00023475281289814815,1.0867307099682404e-05
-5.10792,1.7877720000000004,3.5230213076037805e-05,1.8725962489597735e-06,0.0002307575037247913,1.0774491809947585e-05
-5.10792,2.0431679999999997,3.0954961449062056e-05,1.8241533548833235e-06,0.00021055712911648592,1.0675154495032502e-05
-5.10792,2.2985640000000007,3.337923181151368e-05,1.778855471430384e-06,0.00021065092517471296,1.0487932520841729e-05
-5.10792,2.55396,3.084614666291351e-05,1.6900115549979108e-06,0.00021275455113877145,1.0332441820027396e-05
-5.10792,2.809356000000001,3.024644319254768e-05,1.6592611929102667e-06,0.00019566587887286227,9.969191209115958e-06
-5.10792,3.0647520000000004,2.9256283396903623e-05,1.6429824006181143e-06,0.00018296594243954046,9.035858630987758e-06
-5.10792,3.3201479999999997,2.4686719658345483e-05,1.5668390095890086e-06,0.00016396582671499206,1.0129743917215105e-05
-5.10792,3.5755440000000007,2.0310868787344448e-05,1.39512570808716e-06,0.00013897522357347321,8.365785377595171e-06
-5.10792,3.83094,1.6840500305534443e-05,1.2617362115039978e-06,0.00011578289266791594,7.925736935311288e-06
-5.10792,4.086336000000001,4.787798298159231e-06,6.218521408937149e-07,3.248897770281764e-05,3.810040136811559e-06
-5.10792,4.341732,0.0,0.0,0.0,0.0
-5.10792,4.597128,0.0,0.0,0.0,0.0
-5.10792,4.852524000000001,0.0,0.0,0.0,0.0
-5.10792,5.10792,0.0,0.0,0.0,0.0
-5.10792,5.363316000000001,0.0,0.0,0.0,0.0
-5.10792,5.618712,0.0,0.0,0.0,0.0
-5.10792,5.874108000000001,0.0,0.0,0.0,0.0
-5.10792,6.129504000000001,0.0,0.0,0.0,0.0
-5.10792,6.3849,0.0,0.0,0.0,0.0
-4.852524,-6.3849,0.0,0.0,0.0,0.0
-4.852524,-6.129504,0.0,0.0,0.0,0.0
-4.852524,-5.874108,0.0,0.0,0.0,0.0
-4.852524,-5.618712,0.0,0.0,0.0,0.0
-4.852524,-5.363316,0.0,0.0,0.0,0.0
-4.852524,-5.10792,0.0,0.0,0.0,0.0
-4.852524,-4.852524,0.0,0.0,0.0,0.0
-4.852524,-4.597128,8.804407320459596e-09,6.123855441689156e-09,5.999240638102286e-07,3.738104726188701e-07
-4.852524,-4.341732,9.20646881720229e-06,9.174383914164064e-07,5.239469716453794e-05,5.021586952500369e-06
-4.852524,-4.086335999999999,1.5632019723374523e-05,1.1477330978257848e-06,0.00011657582649927283,7.631224045625138e-06
