x,y,flux_mean,flux_sigma,total_mean,total_sigma
-0.62992,-0.62992,0.000202119206400072,6.922273392001386e-05,1.0901984587603011e-05,3.439847158765147e-06
-0.62992,-0.6047232,0.0001705220548533074,5.055095006366122e-05,1.3748306740408604e-05,3.7992140908337752e-06
-0.62992,-0.5795264,0.00019303439602655567,5.984034360905208e-05,1.1300013136935343e-05,3.395418827373921e-06
-0.62992,-0.5543296,0.0001370157250669239,5.48244890035621e-05,9.596824862448744e-06,3.535898604688869e-06
-0.62992,-0.5291328000000001,0.00018437603315164542,5.698773737293584e-05,1.2297288952132237e-05,3.535540677836999e-06
-0.62992,-0.503936,0.00011523672084854851,4.4581258275382715e-05,8.450639294821744e-06,2.9843700094591945e-06
-0.62992,-0.47873920000000003,0.00014196440278579976,5.037891756465908e-05,9.150126270441903e-06,3.0411040661471463e-06
-0.62992,-0.4535424,0.00017530187983163167,5.937097905241019e-05,1.0447710323059171e-05,3.2960503902012986e-06
-0.62992,-0.4283456,0.00017740475256566767,6.207035026750187e-05,9.5980817075847e-06,3.1943192396194243e-06
-0.62992,-0.40314880000000003,0.00013548313081348642,5.2096174180034834e-05,8.301766828181437e-06,2.9306543329354874e-06
-0.62992,-0.377952,0.00012980085776715083,4.954920663989845e-05,7.3005911038665414e-06,2.7569301417333948e-06
-0.62992,-0.3527552,6.74070516682384e-05,3.156611266581669e-05,6.298610908066357e-06,2.5707480773346572e-06
-0.62992,-0.3275584,0.00016230452080514223,5.673763498265886e-05,9.746876303109079e-06,3.2435855497590607e-06
-0.62992,-0.3023616,6.203146281041214e-05,3.893582362993923e-05,3.149867946431347e-06,1.8208762221432444e-06
-0.62992,-0.2771648,0.00013667979008352243,4.663096847511776e-05,9.299758176477841e-06,3.0931417802647465e-06
-0.62992,-0.251968,0.00017187225020280414,6.050606476887135e-05,9.59577740644749e-06,3.1934959569334906e-06
-0.62992,-0.2267712,0.00023900148484135036,6.733346249950781e-05,1.3147119466448171e-05,3.627146607534886e-06
-0.62992,-0.2015744,0.0002229851605527639,5.878250594709593e-05,1.6601400808040145e-05,4.127305605471306e-06
-0.62992,-0.17637760000000002,0.00021513149810285442,7.341962778027152e-05,1.0600893178339919e-05,3.3452757732574714e-06
-0.62992,-0.1511808,0.00022796640864342687,7.176964414656174e-05,1.374602989301493e-05,4.053498888489613e-06
-0.62992,-0.12598399999999998,8.915157158304149e-05,4.906826054287255e-05,5e-06,2.231586874844889e-06
-0.62992,-0.10078719999999997,8.731846278281013e-05,4.0470569946012075e-05,5.150414215922354e-06,2.3026567981205097e-06
-0.62992,-0.07559039999999995,0.0003111623201448843,7.830730936260358e-05,1.9042721654971514e-05,4.460724168472107e-06
-0.62992,-0.05039360000000004,9.842408840053585e-05,4.5342851076081985e-05,5.150323014092002e-06,2.302611393359516e-06
-0.62992,-0.02519680000000002,0.0002836115043991249,7.665941892124108e-05,2.0048619427946793e-05,4.782808362171325e-06
-0.62992,0.0,0.0002461667971670274,6.734107022274428e-05,1.529668691217759e-05,3.926680464395862e-06
-0.62992,0.02519680000000002,0.00011519216567638628,5.486291108087042e-05,6.3003964046345276e-06,2.571542393323753e-06
-0.62992,0.05039360000000004,0.00011589368128983216,4.794107581142703e-05,7.299590593589615e-06,2.756514613636241e-06
-0.62992,0.07559040000000006,9.385940155257049e-05,4.055169679109543e-05,6e-06,2.4433521993298402e-06
-0.62992,0.10078719999999997,0.00014187314200344653,5.401396293141597e-05,8.150347345472309e-06,2.874914953415616e-06
-0.62992,0.12598399999999998,4.878791837701195e-05,3.6502769913062324e-05,2e-06,1.4135055705578233e-06
-0.62992,0.1511808,0.0002147728365432577,6.502933359373355e-05,1.2748324432932829e-05,3.6687317167565186e-06
-0.62992,0.17637760000000002,0.00013812416845806534,5.0238022942904604e-05,9.149588964147258e-06,3.353966144309376e-06
