x,y,flux_mean,flux_sigma,total_mean,total_sigma
-0.62992,-0.62992,0.00017051291596753999,1.9163799429870056e-05,9.671650181885056e-06,1.0101050790070477e-06
-0.62992,-0.6047232,0.0001629081189308211,1.8313305867271495e-05,9.68591984037917e-06,1.0177807614309735e-06
-0.62992,-0.5795264,0.00014842387466682333,1.7572196045569014e-05,8.58616225501758e-06,9.589247213011613e-07
-0.62992,-0.5543296,0.0001429834685151081,1.6931996641433466e-05,8.645300108094135e-06,9.406262098165026e-07
-0.62992,-0.5291328000000001,0.000149304570087119,1.7371200723440402e-05,8.697097925468473e-06,9.322352246847452e-07
-0.62992,-0.503936,0.00016565839401160023,1.7607934104702736e-05,9.900624343011024e-06,9.792885064974992e-07
-0.62992,-0.47873920000000003,0.00017060525977465364,1.8941830058103696e-05,1.0011428662046337e-05,1.0624499093539546e-06
-0.62992,-0.4535424,0.00015678747304247992,1.73797345726961e-05,1.0300651504383431e-05,1.0815859202808574e-06
-0.62992,-0.4283456,0.00017554585378781032,2.0481952256179196e-05,9.559914909985367e-06,1.0152609676660104e-06
-0.62992,-0.40314880000000003,0.00012216695071906228,1.5052228190254835e-05,8.02614158337333e-06,9.052242925019403e-07
-0.62992,-0.377952,0.00013601205928083837,1.7173011655873613e-05,7.811471224878362e-06,9.070038667475111e-07
-0.62992,-0.3527552,0.0001442990652907287,1.8108055001625423e-05,8.751817523351214e-06,1.023105961140914e-06
-0.62992,-0.3275584,0.00017006758489167804,2.112141772918767e-05,9.830083535972338e-06,1.1394183274122913e-06
-0.62992,-0.3023616,0.000155100105763876,1.739783223864643e-05,9.556033332692925e-06,9.977669676156646e-07
-0.62992,-0.2771648,0.00017007155155218093,1.9875441637715387e-05,9.645019985886029e-06,1.0292532381934977e-06
-0.62992,-0.251968,0.00014796662648680604,1.8019805989875998e-05,8.730140910835629e-06,9.881840164437633e-07
-0.62992,-0.2267712,0.00012683684196189004,1.611102118177944e-05,7.652174746543591e-06,8.957478458135773e-07
-0.62992,-0.2015744,0.00015701546257653295,1.8839230849714707e-05,9.170251932729004e-06,9.8271537288327e-07
-0.62992,-0.17637760000000002,0.0001523955716093848,1.7307030889356935e-05,9.730157206553575e-06,1.0301101919871634e-06
-0.62992,-0.1511808,0.00016492238893535345,1.9257823389350983e-05,9.941170335885691e-06,1.0865999812268006e-06
-0.62992,-0.12598399999999998,0.00012191447607347357,1.5950346187238203e-05,7.4265515676697815e-06,8.933875766351708e-07
-0.62992,-0.10078719999999997,0.00013913545494372947,1.739049513628115e-05,8.037085213548434e-06,9.362416699137899e-07
-0.62992,-0.07559039999999995,0.0001275391517869792,1.6431222443586773e-05,7.611804282929451e-06,9.323563132685924e-07
-0.62992,-0.05039360000000004,0.00013112642872442775,1.683509825753682e-05,8.02661591878177e-06,9.394419901373847e-07
-0.62992,-0.02519680000000002,0.00016183282779829382,1.9004742904477413e-05,9.485768503089863e-06,1.0306447835239448e-06
-0.62992,0.0,0.0001538780575812519,1.849120877381832e-05,8.626654663714307e-06,9.808234655591486e-07
-0.62992,0.02519680000000002,0.00015977796705914871,1.9400379827052664e-05,9.281535189981597e-06,1.0445583604794779e-06
-0.62992,0.05039360000000004,0.0001323218193295789,1.6170354561164756e-05,7.611367290852505e-06,8.847155216338321e-07
-0.62992,0.07559040000000006,0.00013259620140201813,1.661902828725306e-05,8.700521906864615e-06,9.966042464235773e-07
-0.62992,0.10078719999999997,0.0001408795775659988,1.7407725097936187e-05,8.515381770170096e-06,9.542609602320745e-07
-0.62992,0.12598399999999998,0.00013767699805102246,1.6717897494954046e-05,8.785952914504558e-06,9.762425311643806e-07
-0.62992,0.1511808,0.00017074103222084513,1.9127347246702755e-05,9.941660901721135e-06,1.0191063063975163e-06
-0.62992,0.17637760000000002,0.00014581079751225902,1.661401810721749e-05,9.096586787658637e-06,9.496681267644786e-07
-0.62992,0.20157440000000004,0.00016429720079597345,1.8763628528678403e-05,9.630416379428508e-06,1.0230700770616148e-06
-0.62992,0.22677120000000006,0.00012261871412903296,1.6947225773010014e-05,7.482050274752826e-06,9.457438351318718e-07
-0.62992,0.2519680000000001,0.00013484819711951097,1.7215346556927212e-05,8.022201305228956e-06,9.573633082456087e-07
-0.62992,0.2771648,0.00012968967817182547,1.6224308183249142e-05,8.126605898270424e-06,8.9883345590957e-07
-0.62992,0.3023616,0.0001356432793334042,1.639997246503031e-05,8.256301387209918e-06,9.636650531955434e-07
-0.62992,0.3275584,0.00016826416566156346,1.9442468211760268e-05,9.844634076517503e-06,1.0273001185993674e-06
-0.62992,0.35275520000000005,0.00014004753575012647,1.669133263104493e-05,8.371149087705052e-06,9.238377768236257e-07
-0.62992,0.37795200000000007,0.00013625103758473222,1.733482294644782e-05,7.955889425092586e-06,9.275720913167545e-07
-0.62992,0.4031488000000001,0.0001672836115515108,1.830596682412266e-05,1.0041320584783657e-05,1.0358072770793133e-06
-0.62992,0.4283456000000001,0.00011885511287990886,1.54278579131827e-05,7.12653294157784e-06,8.657135786926994e-07
-0.62992,0.4535424000000001,0.00012850071383475287,1.5665092011234362e-05,7.941199466403495e-06,9.132625789896793e-07
-0.62992,0.47873920000000014,0.00017439706812084172,1.956076149281471e-05,9.526070588770313e-06,9.93307003451859e-07
-0.62992,0.5039359999999999,0.00013076215440565027,1.6997540547126587e-05,7.481644535467699e-06,8.990661149766558e-07
-0.62992,0.5291328,0.00016769338432256155,1.8852528601059922e-05,9.984737903888693e-06,1.013385007352006e-06
-0.62992,0.5543296,0.00014310601305274494,1.7264909475061582e-05,8.411486753380686e-06,9.449840549349237e-07
-0.62992,0.5795264,0.00018617446134549249,2.081575641427597e-05,1.0177926911340026e-05,1.0671150038305563e-06
-0.62992,0.6047232,0.0001449106224742041,1.7548782886930443e-05,8.585855313660712e-06,9.81276595827579e-07
-0.62992,0.62992,0.00015700040544135876,1.8264250793083505e-05,9.681901438865326e-06,1.0487074262808232e-06
-0.6047232,-0.62992,0.00017102040059348398,1.960771824193765e-05,1.0040560171693247e-05,1.0532705036118517e-06
-0.6047232,-0.6047232,0.00012950280617731388,1.6807635916280385e-05,8.126159458172916e-06,9.595076503712894e-07
-0.6047232,-0.5795264,0.00013735943707785908,1.630925053110314e-05,8.482093148686631e-06,9.267575207721405e-07
-0.6047232,-0.5543296,0.00014047359470593056,1.7169614549173775e-05,8.181857567860213e-06,9.22397505479825e-07
-0.6047232,-0.5291328000000001,0.00013517313709677197,1.6462923657773987e-05,8.537569544182732e-06,9.356247115473573e-07
-0.6047232,-0.503936,0.00015082745571578222,1.816085393738263e-05,8.6155400076617e-06,9.514622816892926e-07
-0.6047232,-0.47873920000000003,0.00014531366633173506,1.7001499972515898e-05,8.555631633838178e-06,9.32971254811814e-07
-0.6047232,-0.4535424,0.00016869689140911804,1.850549545522303e-05,1.0167120808619708e-05,1.0459620221634427e-06
-0.6047232,-0.4283456,0.00012810424609266735,1.5238597874167267e-05,8.900356161748415e-06,9.729569090600581e-07
