lower_edges,upper_edges,mean,sigma
1e-06,1.358345661446175e-06,0.0,0.0
1.358345661446175e-06,1.8451029359696463e-06,0.0,0.0
1.8451029359696463e-06,2.506287567995974e-06,0.0,0.0
2.506287567995974e-06,3.4044048443238158e-06,1.7575496736539702e-08,1.752718040354527e-08
3.4044048443238158e-06,4.624358550093595e-06,4.222243475179254e-08,4.222243475179254e-08
4.624358550093595e-06,6.281477373491172e-06,0.0,0.0
6.281477373491172e-06,8.532417537754048e-06,2.1585939290339496e-07,8.995799909170916e-08
8.532417537754048e-06,1.1589972344055465e-05,4.008665868438098e-07,1.316676606687715e-07
1.1589972344055465e-05,1.5743188649828894e-05,8.688036410444946e-07,1.8496583173462128e-07
1.5743188649828894e-05,2.1384691999823743e-05,1.8467799687839565e-06,3.0622941600244386e-07
2.1384691999823743e-05,2.9047803599323368e-05,3.3936370605106043e-06,4.3508210215712843e-07
2.9047803599323368e-05,3.945695799368148e-05,6.606312308311688e-06,6.563919163814776e-07
3.945695799368148e-05,5.359618770458121e-05,9.214992579088805e-06,8.492377870817452e-07
5.359618770458121e-05,7.280214903857285e-05,1.6992195055025276e-05,1.2237447930744652e-06
7.280214903857285e-05,9.889048329050325e-05,2.5986674859887e-05,1.6128785669374376e-06
9.889048329050325e-05,0.00013432745893597053,5.145099227583252e-05,2.551450847501685e-06
0.00013432745893597053,0.0001824631210587648,8.488713377702908e-05,3.366375193163194e-06
0.0001824631210587648,0.0002478479888641016,0.00014167837440409207,4.805765605946777e-06
0.0002478479888641016,0.0003366632403717126,0.00027729444079442524,7.362731805748431e-06
0.0003366632403717126,0.00045730505192732656,0.0004656658220971116,1.0102309363162765e-05
0.00045730505192732656,0.0006211783332429017,0.0008437183715559903,1.4818928066932243e-05
0.0006211783332429017,0.0008437748939448626,0.001507500306272298,2.1061939843337294e-05
0.0008437748939448626,0.0011461379664272117,0.002766273137555789,2.9888694985469045e-05
0.0011461379664272117,0.0015568515341151446,0.004970069116817853,4.47096402437373e-05
0.0015568515341151446,0.0021147425268811283,0.00907564296734548,5.530253819592252e-05
0.0021147425268811283,0.0028725513364647043,0.01670808229228694,6.73391807030022e-05
0.0028725513364647043,0.0039019176451682465,0.0304275515116266,0.00010249622551493668
0.0039019176451682465,0.005300152904634563,0.056260175804720446,0.00013928445072243384
0.005300152904634563,0.007199439703011701,0.10498587634201328,0.00021060833372025115
0.007199439703011701,0.009779327685429292,0.19744642029725482,0.0002947189485487714
0.009779327685429292,0.013283707333363355,0.3671062083311819,0.0004218487599509539
0.013283707333363355,0.01804386622419485,0.6736517007060563,0.0005882313628414858
0.01804386622419485,0.02450980740135025,1.2175392774229217,0.0007751310475290215
0.02450980740135025,0.033292790546505455,2.099633324465545,0.0011002058133779832
0.033292790546505455,0.045223117596282,3.3851081521702384,0.0014818724316064465
0.045223117596282,0.06142862558397983,5.006191672387155,0.0017671453446163434
0.06142862558397983,0.0834413070506005,6.48918014916816,0.0020412691964713982
0.0834413070506005,0.11334213741758155,7.276258941100291,0.0021051170826891855
0.11334213741758155,0.15395780062020806,6.9998023532219715,0.0018519514416241061
0.15395780062020806,0.20912791051825483,5.9891355618197135,0.0015716269258626116
0.20912791051825483,0.28406798993977533,4.996882352931235,0.0013780088388656842
0.28406798993977533,0.38586252169042945,4.505514694852073,0.0012308674066276212
0.38586252169042945,0.5241346822528765,4.274902132407053,0.0010807078947145429
0.5241346822528765,0.7119560716516642,4.0811041027791655,0.0011192898722289831
0.7119560716516642,0.9670824410683001,3.944689326332872,0.001044357848574753
0.9670824410683001,1.3136322380859042,3.8518542776347657,0.0009700487495340978
1.3136322380859042,1.7843666513398166,3.938225617830325,0.000961630978337924
1.7843666513398166,2.4237866992766794,3.796979744998623,0.0009605770580537443
2.4237866992766794,3.292340147233422,3.670806282448468,0.0008913770849613508
3.292340147233422,4.47213595499958,3.6898758992939844,0.000897382936811861
4.47213595499958,6.074706471871138,3.7265357896405344,0.0009085975349719663
6.074706471871138,8.25155118062516,3.8820523032625536,0.0009299193429438458
8.25155118062516,11.208458746403247,4.243290308240816,0.0009658056291750332
11.208458746403247,15.224961309675315,4.2961154980399705,0.0009750583600393353
15.224961309675315,20.680760140683336,4.401679956684175,0.0009743270530824671
20.680760140683336,28.091620812506196,4.554229700886642,0.001011297504186118
28.091620812506196,38.15813125365886,4.707196082044975,0.0010018876455274357
38.15813125365886,51.83193203730121,4.957330241188886,0.0010346200232637577
51.83193203730121,70.40568000724123,5.032263256024617,0.001044517674333231
70.40568000724123,95.63524997900382,5.162913109463699,0.0010251270123816185
95.63524997900382,129.90572689030049,5.242158947317003,0.001073285433798711
129.90572689030049,176.45688051845138,5.346682198799984,0.001113559529413913
176.45688051845138,239.6894380845645,5.402759393676161,0.0011009127389312913
239.6894380845645,325.58110831663976,5.492473937655736,0.0010910842931332902
325.58110831663976,442.2516859307447,5.550824458846055,0.0010758664282748812
442.2516859307447,600.7306588512835,5.602349753405321,0.0010389662246545629
600.7306588512835,815.999884148343,5.656550532380304,0.0011113920876023046
815.999884148343,1108.409902373483,5.701357611566754,0.0010763491760075758
1108.409902373483,1505.6037819930052,5.748362412157589,0.0010422857851728037
1505.6037819930052,2045.130365127151,5.790706771614327,0.0010732384363293902
2045.130365127151,2777.9939585622974,5.828106495999976,0.001091496878688275
2777.9939585622974,3773.4760411367815,5.871459837642603,0.001098671071280709
3773.4760411367815,5125.684809049235,5.907976637206176,0.0011112360019908008
5125.684809049235,6962.451722312593,5.945284201804478,0.0011044380237265183
6962.451722312593,9457.416090031758,5.983985376068693,0.0011041059716692593
9457.416090031758,12846.44011438594,6.0247206710380174,0.0011378310456204327
12846.44011438594,17449.906194404244,6.066848670173256,0.001128251301712541
17449.906194404244,23703.004371811738,6.116722255808976,0.0011199628667551875
23703.004371811738,32196.87315169019,6.170749435350562,0.0011253638715433135
32196.87315169019,43734.4829577312,6.23388786501595,0.0011179847587421189
43734.4829577312,59406.54518122585,6.302299364433372,0.0011178093970283219
59406.54518122585,80694.6229084243,6.396149683403089,0.001117962536897366
80694.6229084243,109611.19092969326,6.510450175314881,0.0011275874210200897
109611.19092969326,148889.88564529715,6.628382439872296,0.0011143991550033813
148889.88564529715,202243.93019950733,6.723203895281192,0.0010764671565618067
202243.93019950733,274717.1651403238,6.868810079294232,0.0011391142325638936
274717.1651403238,373160.8693931512,6.946095524650416,0.001082197322509794
373160.8693931512,506881.44796166965,6.783262659533714,0.0009645279941794883
506881.44796166965,688520.215706289,6.377816058362406,0.0007743075477744184
688520.215706289,935248.4478226223,6.00042851360097,0.0006669871922109711
935248.4478226223,1270390.671474128,5.968104640418278,0.0006311458125786205
1270390.671474128,1725629.656938582,6.4301993775143504,0.0007618389147265613
1725629.656938582,2344001.557765374,5.962172610614309,0.0008774757822891052
2344001.557765374,3183964.346413671,4.073872371941406,0.0008040654952108883
3183964.346413671,4324924.156150316,2.1602367451811264,0.0006144330232140793
4324924.156150316,5874741.963590541,1.515491456488232,0.0006777745521267776
5874741.963590541,7979930.258358994,0.5411834804675366,0.0004090721964154313
7979930.258358994,10839503.645084992,0.1063106168474612,0.00017503750865841613
10839503.645084992,14723792.748531198,0.012369918760280376,6.39060507887578e-05
14723792.748531198,20000000.000000004,0.000630019860452794,1.4951864434603521e-05
